timeStamp,N_Max,N_Min,N_Mean,P_Max,P_Min,P_Mean,E_Max,E_Min,E_Mean
2020-01-03 00:00:00,492.6,385.1,438.85,8.5,8.4,8.45,21.283,19.7461,20.244925
2020-01-03 00:10:00,364.4,245.5,304.95,8.6,8.5,8.55,21.4223,19.9372,20.67975
2020-01-03 00:20:00,412.7,321.6,367.15,8.6,8.6,8.6,21.407,20.0473,20.72715
2020-01-03 00:30:00,409.4,103.9,256.65,8.7,8.6,8.649999999999999,21.4544,20.1385,20.787166666666668
2020-01-03 00:40:00,388.4,263.0,325.7,8.7,8.7,8.7,21.5038,19.8194,20.2364
2020-01-03 00:50:00,0.0,0.0,0.0,8.6,8.5,8.55,21.4702,19.9164,20.4796
2020-01-03 01:00:00,0.0,0.0,0.0,8.4,8.3,8.350000000000001,21.4721,19.7041,20.406366666666667
2020-01-03 01:10:00,0.0,0.0,0.0,8.3,8.2,8.25,21.4585,20.1947,20.8266
2020-01-03 01:20:00,0.0,0.0,0.0,8.1,8.1,8.1,21.4609,19.8387,20.4858
2020-01-03 01:30:00,0.0,0.0,0.0,8.0,7.9,7.95,21.3373,19.8066,20.25158
2020-01-03 01:40:00,579.1,0.0,289.55,8.0,7.8,7.9,21.6029,19.8335,20.42296
2020-01-03 01:50:00,499.7,388.2,443.95,8.2,8.1,8.149999999999999,21.5112,19.7377,20.30516
2020-01-03 02:00:00,319.3,319.3,319.3,8.3,8.3,8.3,21.4405,19.6913,20.525399999999998
2020-01-03 02:10:00,406.3,252.4,329.35,8.5,8.4,8.45,21.5576,19.9115,20.565033333333332
2020-01-03 02:20:00,427.1,336.5,381.8,8.6,8.6,8.6,21.536,19.7708,20.578850000000003
2020-01-03 02:30:00,315.3,315.3,315.3,8.6,8.6,8.6,21.5545,19.9311,20.548000000000002
2020-01-03 02:40:00,426.2,350.0,388.1,8.7,8.7,8.7,21.6184,19.9037,20.592200000000002
2020-01-03 02:50:00,0.0,0.0,0.0,8.6,8.5,8.55,21.537,19.7789,20.4863
2020-01-03 03:00:00,0.0,0.0,0.0,8.4,8.3,8.350000000000001,19.9612,19.9612,19.9612
2020-01-03 03:10:00,0.0,0.0,0.0,8.2,8.2,8.2,21.6212,19.9882,20.557775
2020-01-03 03:20:00,0.0,0.0,0.0,8.1,8.0,8.05,21.6295,19.99,20.616133333333334
2020-01-03 03:30:00,0.0,0.0,0.0,8.0,7.9,7.95,21.7094,19.8396,20.442914285714288
2020-01-03 03:40:00,530.3,0.0,265.15,8.0,7.8,7.9,21.7582,19.9171,20.663933333333333
2020-01-03 03:50:00,445.8,313.3,379.55,8.2,8.1,8.149999999999999,21.708,19.9258,20.667933333333334
2020-01-03 04:00:00,526.2,453.8,490.0,8.4,8.3,8.350000000000001,21.6099,19.9136,20.610233333333333
2020-01-03 04:10:00,322.2,86.4,204.3,8.5,8.4,8.45,21.6439,20.0428,20.769825
2020-01-03 04:20:00,461.6,359.4,410.5,8.6,8.6,8.6,21.6218,19.9296,20.4631
2020-01-03 04:30:00,221.9,98.7,160.3,8.6,8.6,8.6,21.6386,19.7414,20.37148
2020-01-03 04:40:00,399.2,309.0,354.1,8.7,8.7,8.7,21.8228,20.0565,20.7547
2020-01-03 04:50:00,0.0,0.0,0.0,8.6,8.5,8.55,19.9537,19.9537,19.9537
2020-01-03 05:00:00,0.0,0.0,0.0,8.4,8.3,8.350000000000001,21.7816,19.2095,20.211399999999998
2020-01-03 05:10:00,0.0,0.0,0.0,8.2,8.2,8.2,20.5478,18.832,19.66385
2020-01-03 05:20:00,0.0,0.0,0.0,8.1,8.0,8.05,20.5079,18.848,19.5141
2020-01-03 05:30:00,0.0,0.0,0.0,7.9,7.9,7.9,21.217,18.9255,19.9713
2020-01-03 05:40:00,536.9,486.3,511.6,8.1,7.9,8.0,20.6276,18.8583,19.485120000000002
2020-01-03 05:50:00,485.2,376.1,430.65,8.3,8.2,8.25,20.5844,18.7284,19.454900000000002
2020-01-03 06:00:00,480.1,385.1,432.6,8.4,8.4,8.4,20.6219,18.8263,19.73225
2020-01-03 06:10:00,464.3,217.9,341.1,8.6,8.5,8.55,22.6801,19.5417,20.910742857142857
2020-01-03 06:20:00,423.2,291.6,357.4,8.6,8.6,8.6,19.4946,17.8712,18.7167
2020-01-03 06:30:00,443.2,0.0,221.6,8.7,8.6,8.649999999999999,18.3288,17.8357,18.082250000000002
2020-01-03 06:40:00,350.8,235.5,293.15,8.7,8.7,8.7,19.5568,18.1356,18.57994
2020-01-03 06:50:00,0.0,0.0,0.0,8.6,8.5,8.55,19.766,17.9981,18.714333333333332
2020-01-03 07:00:00,0.0,0.0,0.0,8.4,8.4,8.4,19.817,18.0602,18.70854
2020-01-03 07:10:00,0.0,0.0,0.0,8.2,8.2,8.2,19.9319,18.2442,18.90045
2020-01-03 07:20:00,0.0,0.0,0.0,8.2,8.1,8.149999999999999,19.9057,18.3106,18.8128
2020-01-03 07:30:00,0.0,0.0,0.0,8.0,7.9,7.95,20.3258,18.2491,18.862116666666665
2020-01-03 07:40:00,547.5,0.0,273.75,8.0,7.8,7.9,43.2197,15.1042,20.90051111111111
2020-01-03 07:50:00,459.0,336.2,397.6,8.2,8.1,8.149999999999999,17.9411,17.6698,17.7627
2020-01-03 08:00:00,546.4,453.9,500.15,8.4,8.3,8.350000000000001,19.2879,17.3218,17.901639999999997
2020-01-03 08:10:00,311.9,116.7,214.29999999999998,8.5,8.4,8.45,18.2061,16.38,17.0509
2020-01-03 08:20:00,445.3,370.0,407.65,8.6,8.6,8.6,18.3164,16.435,17.203133333333337
2020-01-03 08:30:00,191.8,191.8,191.8,8.6,8.6,8.6,18.4431,16.5831,17.2264
2020-01-03 08:40:00,405.3,290.7,348.0,8.7,8.7,8.7,18.5694,16.7953,17.476654545454544
2020-01-03 08:50:00,0.0,0.0,0.0,8.5,8.5,8.5,21.0668,13.451,17.396658000000002
2020-01-03 09:00:00,0.0,0.0,0.0,8.4,8.3,8.350000000000001,18.7186,17.2942,17.9414
2020-01-03 09:10:00,0.0,0.0,0.0,8.2,8.2,8.2,20.2189,17.0766,18.385474603174593
2020-01-03 09:20:00,0.0,0.0,0.0,8.1,8.0,8.05,19.214,13.7723,17.924551724137928
2020-01-03 09:30:00,0.0,0.0,0.0,7.9,7.8,7.85,19.0495,17.3723,18.0534
2020-01-03 09:40:00,585.1,350.5,467.8,8.1,7.9,8.0,19.0159,17.4425,17.893549999999998
2020-01-03 09:50:00,492.3,391.6,441.95000000000005,8.2,8.2,8.2,19.1233,16.4906,17.930366666666664
2020-01-03 10:00:00,491.4,391.1,441.25,8.4,8.3,8.350000000000001,18.2473,12.95,14.65894117647059
2020-01-03 10:10:00,402.1,246.7,324.4,8.5,8.4,8.45,18.3944,14.569,17.29933
2020-01-03 10:20:00,430.2,417.7,423.95,8.6,8.5,8.55,18.6392,16.6347,17.72305806451613
2020-01-03 10:30:00,306.6,76.0,191.3,8.6,8.6,8.6,23.2454,16.8246,18.064182608695653
2020-01-03 10:40:00,419.9,0.0,209.95,8.7,8.7,8.7,25.5591,16.8597,23.170056249999995
2020-01-03 10:50:00,0.0,0.0,0.0,8.6,8.5,8.55,25.9204,17.142,24.515236842105264
2020-01-03 11:00:00,0.0,0.0,0.0,8.4,8.3,8.350000000000001,18.8379,17.352,17.855500000000003
2020-01-03 11:10:00,0.0,0.0,0.0,8.2,8.1,8.149999999999999,15.0741,13.3216,14.032633333333335
